Excitation
"Frequency"[Hz]	"Real [Ohm]"	"Imaginary [Ohm]"	
6.30000000E+06	5.30221561E+01	-1.32299505E+02	
6.33888889E+06	5.39283560E+01	-1.24792584E+02	
6.37777778E+06	5.48482144E+01	-1.17310956E+02	
6.41666667E+06	5.57820368E+01	-1.09849450E+02	
6.45555556E+06	5.67300731E+01	-1.02410234E+02	
6.49444444E+06	5.76924947E+01	-9.49923906E+01	
6.53333333E+06	5.86696799E+01	-8.75903545E+01	
6.57222222E+06	5.96618648E+01	-8.02077597E+01	
6.61111111E+06	6.06691643E+01	-7.28428842E+01	
6.65000000E+06	6.16920077E+01	-6.54922943E+01	
