Excitation
"Frequency"[Hz]	"Real [Ohm]"	"Imaginary [Ohm]"	
6.65000000E+06	6.18573047E+01	-6.63134991E+01	
6.68111111E+06	6.26933743E+01	-6.03798912E+01	
6.71222222E+06	6.35399280E+01	-5.44557361E+01	
6.74333333E+06	6.43969184E+01	-4.85395796E+01	
6.77444444E+06	6.52647436E+01	-4.26302904E+01	
6.80555556E+06	6.61436271E+01	-3.67286847E+01	
6.83666667E+06	6.70335022E+01	-3.08325663E+01	
6.86777778E+06	6.79346641E+01	-2.49430512E+01	
6.89888889E+06	6.88473726E+01	-1.90574049E+01	
6.93000000E+06	6.97716447E+01	-1.31774838E+01	
