Excitation
"Frequency"[Hz]	"VoltageSource1 []"	
6.65000000E+06	3.38495749E-01	
6.68111111E+06	3.10555308E-01	
6.71222222E+06	2.83964355E-01	
6.74333333E+06	2.59219051E-01	
6.77444444E+06	2.36824254E-01	
6.80555556E+06	2.17273363E-01	
6.83666667E+06	2.00999489E-01	
6.86777778E+06	1.88378172E-01	
6.89888889E+06	1.79677421E-01	
6.93000000E+06	1.75063519E-01	
