Excitation
"Frequency"[Hz]	"VoltageSource1 []"	
7.07000000E+06	2.01078547E-01	
7.14000000E+06	2.39195423E-01	
7.21000000E+06	2.87098391E-01	
7.28000000E+06	3.40060850E-01	
7.35000000E+06	3.94223928E-01	
7.42000000E+06	4.46883605E-01	
7.49000000E+06	4.96363747E-01	
7.56000000E+06	5.41807626E-01	
7.63000000E+06	5.82923902E-01	
7.70000000E+06	6.19764983E-01	
