Excitation
"Frequency"[Hz]	"VoltageSource1 []"	
6.93000000E+06	1.73400322E-01	
6.94555556E+06	1.72647415E-01	
6.96111111E+06	1.72913710E-01	
6.97666667E+06	1.74184022E-01	
6.99222222E+06	1.76436008E-01	
7.00777778E+06	1.79643639E-01	
7.02333333E+06	1.83771779E-01	
7.03888889E+06	1.88781082E-01	
7.05444444E+06	1.94628673E-01	
7.07000000E+06	2.01266722E-01	
