Excitation
"Frequency"[Hz]	"VoltageSource1 []"	
6.30000000E+06	7.89203758E-01	
6.33888889E+06	7.68800119E-01	
6.37777778E+06	7.46238418E-01	
6.41666667E+06	7.21313805E-01	
6.45555556E+06	6.93847082E-01	
6.49444444E+06	6.63668054E-01	
6.53333333E+06	6.30617200E-01	
6.57222222E+06	5.94621370E-01	
6.61111111E+06	5.55662849E-01	
6.65000000E+06	5.13818389E-01	
