Excitation
"Frequency"[Hz]	"VoltageSource1 []"	
6.30000000E+06	8.48783518E+00	
6.33888889E+06	7.65052350E+00	
6.37777778E+06	6.88141366E+00	
6.41666667E+06	6.17653057E+00	
6.45555556E+06	5.53268311E+00	
6.49444444E+06	4.94650620E+00	
6.53333333E+06	4.41443727E+00	
6.57222222E+06	3.93365918E+00	
6.61111111E+06	3.50108660E+00	
6.65000000E+06	3.11368911E+00	
