Excitation
"Frequency"[Hz]	"VoltageSource1 []"	
6.93000000E+06	1.48687505E+00	
6.94555556E+06	1.45847763E+00	
6.96111111E+06	1.43916330E+00	
6.97666667E+06	1.42938979E+00	
6.99222222E+06	1.42930851E+00	
7.00777778E+06	1.43873741E+00	
7.02333333E+06	1.45714765E+00	
7.03888889E+06	1.48378336E+00	
7.05444444E+06	1.51780505E+00	
7.07000000E+06	1.55838001E+00	
