Excitation
"Frequency"[Hz]	"VoltageSource1 []"	
6.65000000E+06	3.14979104E+00	
6.68111111E+06	2.86545021E+00	
6.71222222E+06	2.60761974E+00	
6.74333333E+06	2.37507370E+00	
6.77444444E+06	2.16681141E+00	
6.80555556E+06	1.98221664E+00	
6.83666667E+06	1.82107209E+00	
6.86777778E+06	1.68405148E+00	
6.89888889E+06	1.57294624E+00	
6.93000000E+06	1.49125647E+00	
